Model,Tested_On,Accuracy,Precision,Recall,F1_Score,Macro_F1
Linear_IMDB,IMDB,0.8856,0.8798517651648138,0.8952173050208375,0.887468030690537,0.8855684672468345
Linear_IMDB,Twitter,0.5823662396382818,0.5678949164107813,0.67218576476527,0.615654907762726,0.5792096660809121
Linear_IMDB,Combined,0.700016719612105,0.67709324452902,0.7627788571045756,0.7173865104117443,0.69887923874526
Linear_Twitter,IMDB,0.6659,0.6765072765072765,0.6457630482238539,0.6607777439333943,0.6658238044856608
Linear_Twitter,Twitter,0.7656367746797287,0.7510540436949023,0.7913175164058557,0.7706602428592498,0.765524276239836
Linear_Twitter,Combined,0.7547567296438723,0.7520748954252706,0.7588262879346152,0.7554355075363479,0.75475484048268
Linear_Combined,IMDB,0.8888,0.8858321870701513,0.894621948799365,0.8902053712480252,0.8887817780065086
Linear_Combined,Twitter,0.7607133885958302,0.7463587581448831,0.7863705199394245,0.765842387296593,0.76059852684466
Linear_Combined,Combined,0.7885303460959706,0.7797359693048059,0.8032424465733236,0.7913146779303062,0.7884926944860641
Kernel_IMDB,IMDB,0.8682,0.8609117361784675,0.8807303036316729,0.8707082597606435,0.8681503770759162
Kernel_IMDB,Twitter,0.5712635016327556,0.5467567014528341,0.8092882382635033,0.6526092974029146,0.546391240147272
Kernel_IMDB,Combined,0.6829292760407959,0.6383032766065532,0.8417632478059891,0.7260487692129897,0.6748745314435454
Kernel_Twitter,IMDB,0.4969,0.7857142857142857,0.002182972812065886,0.004353849198495943,0.3338822835341513
Kernel_Twitter,Twitter,0.7565938206480783,0.7435502502887947,0.7798081776880363,0.7612477208889765,0.7565013006248438
Kernel_Twitter,Combined,0.7035278381541549,0.7909745559289486,0.5518858444429557,0.6501460026832926,0.6964609553859773
Kernel_Combined,IMDB,0.885,0.8811997647520095,0.8920420718396507,0.8865877712031558,0.8849774555812939
Kernel_Combined,Twitter,0.7737251946747048,0.7559958289885297,0.8051489146895507,0.7797985724063753,0.7735529336510074
Kernel_Combined,Combined,0.7879953185086106,0.7757369468884465,0.8092047966771622,0.7921175159026821,0.7879119238902057
