Algorithm,Trained_On,Tested_On,Accuracy,Training_Time_Sec
Linear,IMDB,IMDB,0.8856,7.282119989395142
Linear,IMDB,Twitter,0.5823662396382818,7.282119989395142
Linear,IMDB,Combined,0.700016719612105,7.282119989395142
Linear,Twitter,IMDB,0.6659,1.0145952701568604
Linear,Twitter,Twitter,0.7656367746797287,1.0145952701568604
Linear,Twitter,Combined,0.7547567296438723,1.0145952701568604
Linear,Combined,IMDB,0.8888,9.072606086730957
Linear,Combined,Twitter,0.7607133885958302,9.072606086730957
Linear,Combined,Combined,0.7885303460959706,9.072606086730957
Kernel,IMDB,IMDB,0.8682,318.45829916000366
Kernel,IMDB,Twitter,0.5712635016327556,318.45829916000366
Kernel,IMDB,Combined,0.6829292760407959,318.45829916000366
Kernel,Twitter,IMDB,0.4969,184.35078287124634
Kernel,Twitter,Twitter,0.7565938206480783,184.35078287124634
Kernel,Twitter,Combined,0.7035278381541549,184.35078287124634
Kernel,Combined,IMDB,0.885,1528.9251701831818
Kernel,Combined,Twitter,0.7737251946747048,1528.9251701831818
Kernel,Combined,Combined,0.7879953185086106,1528.9251701831818
